259200	0.32
261000	0.48
262800	0.62
264600	0.73
266400	0.8
268200	0.83
270000	0.83
271800	0.78
273600	0.68
275400	0.54
277200	0.38
279000	0.21
280800	0.03
282600	-0.14
284400	-0.3
286200	-0.43
288000	-0.52
289800	-0.57
291600	-0.57
293400	-0.54
295200	-0.46
297000	-0.35
298800	-0.2
300600	-0.02
302400	0.16
304200	0.34
306000	0.51
307800	0.67
309600	0.8
311400	0.89
313200	0.94
315000	0.94
316800	0.88
318600	0.78
320400	0.66
322200	0.5
324000	0.32
325800	0.13
327600	-0.06
329400	-0.22
331200	-0.36
333000	-0.46
334800	-0.53
336600	-0.55
338400	-0.53
340200	-0.47
342000	-0.36
343800	-0.22
345600	-0.07
347400	0.09
349200	0.25
351000	0.41
352800	0.55
354600	0.67
356400	0.74
358200	0.77
360000	0.75
361800	0.69
363600	0.58
365400	0.45
367200	0.29
369000	0.11
370800	-0.07
372600	-0.24
374400	-0.4
376200	-0.52
378000	-0.61
379800	-0.65
381600	-0.65
383400	-0.61
385200	-0.52
387000	-0.39
388800	-0.22
390600	-0.03
392400	0.17
394200	0.37
396000	0.55
397800	0.71
399600	0.84
401400	0.92
403200	0.96
405000	0.95
406800	0.89
408600	0.78
410400	0.64
412200	0.48
414000	0.3
415800	0.1
417600	-0.09
419400	-0.27
421200	-0.42
423000	-0.53
424800	-0.6
426600	-0.62
428400	-0.6
430200	-0.53
432000	-0.42
433800	-0.28
435600	-0.11
437400	0.06
439200	0.23
441000	0.39
442800	0.53
444600	0.64
446400	0.71
448200	0.73
450000	0.7
451800	0.63
453600	0.52
455400	0.38
457200	0.2
459000	0.02
460800	-0.17
462600	-0.35
464400	-0.49
466200	-0.62
468000	-0.72
469800	-0.77
471600	-0.76
473400	-0.7
475200	-0.6
477000	-0.46
478800	-0.3
480600	-0.1
482400	0.1
484200	0.31
486000	0.51
487800	0.67
489600	0.78
491400	0.86
493200	0.89
495000	0.88
496800	0.82
498600	0.7
500400	0.54
502200	0.36
504000	0.16
505800	-0.04
507600	-0.24
509400	-0.42
511200	-0.57
513000	-0.68
514800	-0.74
516600	-0.76
518400	-0.73
520200	-0.66
522000	-0.55
523800	-0.41
525600	-0.24
527400	-0.05
529200	0.12
531000	0.29
532800	0.43
534600	0.54
536400	0.6
538200	0.62
540000	0.59
541800	0.52
543600	0.4
545400	0.25
547200	0.07
549000	-0.12
550800	-0.31
552600	-0.49
554400	-0.65
556200	-0.78
558000	-0.86
559800	-0.9
561600	-0.88
563400	-0.81
565200	-0.7
567000	-0.54
568800	-0.36
570600	-0.15
572400	0.06
574200	0.27
576000	0.47
577800	0.63
579600	0.76
581400	0.84
583200	0.87
585000	0.84
586800	0.76
588600	0.64
590400	0.47
592200	0.28
594000	0.07
595800	-0.14
597600	-0.34
599400	-0.53
601200	-0.68
603000	-0.79
604800	-0.85
606600	-0.85
608400	-0.82
610200	-0.73
612000	-0.6
613800	-0.44
615600	-0.26
617400	-0.07
619200	0.12
621000	0.29
622800	0.43
624600	0.54
626400	0.6
628200	0.62
630000	0.58
631800	0.5
633600	0.37
635400	0.21
637200	0.03
639000	-0.17
640800	-0.37
642600	-0.56
644400	-0.71
646200	-0.84
648000	-0.91
649800	-0.94
651600	-0.92
653400	-0.85
655200	-0.72
657000	-0.56
658800	-0.37
660600	-0.15
662400	0.07
664200	0.28
666000	0.47
667800	0.64
669600	0.76
671400	0.83
673200	0.85
675000	0.82
676800	0.73
